id,name,short_name,description
1128,Rentas de congestión mecanismos implícitos intradiario 1 Portugal exportación,Portugal exportación,<p>Ingresos brutos para los sistemas eléctricos español y portugués derivados de la asignación de la capacidad de intercambio en sentido importador a través mecanismos implícitos de gestión de la capacidad de interconexión. Estos ingresos son repartidos entre ambos sistemas conforme a la metodología europea derivada del Reglamento 1222/2015 y empleados para cubrir los costes del sistema conforme a lo establecido por el Reglamento 2019/943.</p><p>Las 6 sesiones de subastas intradiarias de ámbito MIBEL fueron sustituidas en 13/06/2024 por la puesta en servicio de las 3 subastas implícitas intradiarias de ámbito europeo.</p><p>En concreto este indicador se refiere al producto en euros [€] del saldo programado resultante de la primera subasta implícita intradiaria en el sentido ES->PT por la diferencia de precios de dicha sesión (España-Portugal) para cada hora.</p><p><b>Publicación:</b> En torno a las 16:00 horas con la información del día D+1.</p>
1129,Rentas de congestión mecanismos implícitos intradiario 2 Portugal exportación,Portugal exportación,<p>Ingresos brutos para los sistemas eléctricos español y portugués derivados de la asignación de la capacidad de intercambio en sentido importador a través mecanismos implícitos de gestión de la capacidad de interconexión. Estos ingresos son repartidos entre ambos sistemas conforme a la metodología europea derivada del Reglamento 1222/2015 y empleados para cubrir los costes del sistema conforme a lo establecido por el Reglamento 2019/943.</p><p>Las 6 sesiones de subastas intradiarias de ámbito MIBEL fueron sustituidas en 13/06/2024 por la puesta en servicio de las 3 subastas implícitas intradiarias de ámbito europeo.</p><p>En concreto este indicador se refiere al producto en euros [€] del saldo programado resultante de la segunda subasta implícita intradiaria en el sentido ES->PT por la diferencia de precios de dicha sesión (España-Portugal) para cada hora.</p><p><b>Publicación:</b> En torno a las 23:00 horas con la información del día D+1.</p>
1130,Rentas de congestión mecanismos implícitos intradiario 3 Portugal exportación,Portugal exportación,<p>Ingresos brutos para los sistemas eléctricos español y portugués derivados de la asignación de la capacidad de intercambio en sentido importador a través mecanismos implícitos de gestión de la capacidad de interconexión. Estos ingresos son repartidos entre ambos sistemas conforme a la metodología europea derivada del Reglamento 1222/2015 y empleados para cubrir los costes del sistema conforme a lo establecido por el Reglamento 2019/943.</p><p>Las 6 sesiones de subastas intradiarias de ámbito MIBEL fueron sustituidas en 13/06/2024 por la puesta en servicio de las 3 subastas implícitas intradiarias de ámbito europeo.</p><p>En concreto este indicador se refiere al producto en euros [€] del saldo programado resultante de la tercera subasta implícita intradiaria en el sentido ES->PT por la diferencia de precios de dicha sesión (España-Portugal) para cada hora.</p><p><b>Publicación:</b> En torno a las 12:00 horas con la información del día D.</p>
1131,Rentas de congestión mecanismos implícitos intradiario 4 Portugal exportación,Portugal exportación,"<p>Ingresos brutos para los sistemas eléctricos español y portugués derivados de la asignación de la capacidad de intercambio en sentido importador a través de mecanismos implícitos de gestión de la capacidad de interconexión. Estos ingresos son repartidos entre ambos sistemas conforme a la metodología europea derivada del Reglamento 1222/2015 y empleados para cubrir los costes del sistema conforme a lo establecido por el Reglamento 2019/943.</p><p>Las 6 sesiones de subastas intradiarias de ámbito MIBEL fueron sustituidas en 13/06/2024 por la puesta en servicio de las 3 subastas implícitas intradiarias de ámbito europeo.</p><p>En concreto, este indicador se refiere al producto en euros [€] del saldo programado resultante de la cuarta subasta implícita intradiaria en el sentido ES-&gt;PT por la diferencia de precios de dicha sesión (España-Portugal) para cada hora.</p>"
1132,Rentas de congestión mecanismos implícitos intradiario 5 Portugal exportación,Portugal exportación,"<p>Ingresos brutos para los sistemas eléctricos español y portugués derivados de la asignación de la capacidad de intercambio en sentido importador a través de mecanismos implícitos de gestión de la capacidad de interconexión. Estos ingresos son repartidos entre ambos sistemas conforme a la metodología europea derivada del Reglamento 1222/2015 y empleados para cubrir los costes del sistema conforme a lo establecido por el Reglamento 2019/943.</p><p>Las 6 sesiones de subastas intradiarias de ámbito MIBEL fueron sustituidas en 13/06/2024 por la puesta en servicio de las 3 subastas implícitas intradiarias de ámbito europeo.</p><p>En concreto, este indicador se refiere al producto en euros [€] del saldo programado resultante de la quinta subasta implícita intradiaria en el sentido ES-&gt;PT por la diferencia de precios de dicha sesión (España-Portugal) para cada hora.</p>"
1133,Rentas de congestión mecanismos implícitos intradiario 6 Portugal exportación,Portugal exportación,"<p>Ingresos brutos para los sistemas eléctricos español y portugués derivados de la asignación de la capacidad de intercambio en sentido importador a través de mecanismos implícitos de gestión de la capacidad de interconexión. Estos ingresos son repartidos entre ambos sistemas conforme a la metodología europea derivada del Reglamento 1222/2015 y empleados para cubrir los costes del sistema conforme a lo establecido por el Reglamento 2019/943.</p> <p>Las 6 sesiones de subastas intradiarias de ámbito MIBEL fueron sustituidas en 13/06/2024 por la puesta en servicio de las 3 subastas implícitas intradiarias de ámbito europeo.</p> <p>En concreto, este indicador se refiere al producto en euros [€] del saldo programado resultante de la sexta subasta implícita intradiaria en el sentido ES->PT por la diferencia de precios de dicha sesión (España-Portugal) para cada hora.</p>"
1134,Rentas de congestión mecanismos implícitos intradiario 7 Portugal exportación,Portugal exportación,"<p>Ingresos brutos para los sistemas eléctricos español y portugués derivados de la asignación de la capacidad de intercambio en sentido importador a través de mecanismos implícitos de gestión de la capacidad de interconexión. Estos ingresos son repartidos entre ambos sistemas conforme a la metodología europea derivada del Reglamento 1222/2015 y empleados para cubrir los costes del sistema conforme a lo establecido por el Reglamento 2019/943.</p> <p>Las 6 sesiones de subastas intradiarias de ámbito MIBEL fueron sustituidas en 13/06/2024 por la puesta en servicio de las 3 subastas implícitas intradiarias de ámbito europeo.</p> <p>En concreto, este indicador se refiere al producto en euros [€] del saldo programado resultante de la primera subasta implícita intradiaria en el sentido ES->PT por la diferencia de precios de dicha sesión (España-Portugal) para las últimas tres horas del día anterior.</p>"
1135,Coste Mensual Countertrading (IPE +IFE),Coste countertrading,"<p>Programa coordinado establecido por los gestores de redes interconectadas, superpuesto sobre los programas comercilaes de intercambio existentes, en una magnitud y direcci&oacute;n adecuada para que el flujo neto de programas de intercambio entre los dos sistemas el&eacute;ctricos respete el valor de la capacidad de intercambio existente y garantizar la resoluci&oacute;n de una congesti&oacute;n identificada en la interconexi&oacute;n en tiempo real.</p><p>La programaci&oacute;n de countertrading se recoge se recoge en la circular 3/2019 de la CNMC.</p><p>En concreto este indicador se refiere al coste mensual para el SEE, en euros [€], resultante de los programas de countertrading establecidos en las interconexiones con Francia y Portugal.</p><p><b>Publicaci&oacute;n:</b> Mensualmente antes de las 12:00 horas del d&iacute;a 25 con la informaci&oacute;n de mes M-1</p>"
1136,Pérdidas de transporte,Pérdidas de transporte,<p>Energía perdida en el paso de los puntos de generación a la red de transporte.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1137,Pérdidas de distribución,Pérdidas de distribución,"<p>Energ&iacute;a perdida en el paso desde&nbsp;la red de transporte hasta los clientes finales.</p>

<p><b>Publicaci&oacute;n:</b>&nbsp;diariamente cada vez que lleguen nuevas medidas a partir del mes M+8.</p>
"
1138,Precio medio de ofertas de balance presentadas por el SEE para importación,SEE importación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1139,Precio medio de ofertas de balance presentadas por el SEE para exportación,SEE exportación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1140,Precio medio de ofertas de balance presentadas por Francia para importación activadas por el SEE,Francia importación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Francia para importación activadas por el Sistema Eléctrico Español.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1141,Precio medio de ofertas de balance presentadas por Portugal para importación activadas por el SEE,Portugal importación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Francia para importación activadas por el Sistema Eléctrico Español.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1142,Precio medio de ofertas de balance presentadas por Francia para exportación activadas por el SEE,Francia exportación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Francia para exportación activadas por el Sistema Eléctrico Español.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1143,Precio medio de ofertas de balance presentadas por Portugal para exportación activadas por el SEE,Portugal exportación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Portugal para exportación activadas por el Sistema Eléctrico Español.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1144,Precio medio de ofertas de balance presentadas por el SEE para importación activadas por Francia,SEE importación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación activadas por Francia.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1145,Precio medio de ofertas de balance presentadas por el SEE para importación activadas por Portugal,SEE importación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación activadas por Portugal.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1146,Precio medio de ofertas de balance presentadas por el SEE para exportación activadas por Francia,SEE exportación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación activadas por Francia.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1147,Precio medio de ofertas de balance presentadas por el SEE para exportación activadas por Portugal,SEE exportación,"<p>Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.</p><p>En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación activadas por Portugal.</p><p><b>Publicación:</b> diariamente sobre las 5:00 horas con la información del día anterior.</p>"
1150,Generación medida Hidráulica UGH,Hidráulica UGH,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Hidráulica UGH.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1151,Generación medida Hidráulica no UGH,Hidráulica no UGH,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Hidráulica no UGH.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1152,Generación medida Turbinación bombeo,Turbinación bombeo,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Turbinación bombeo.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1153,Generación medida Nuclear,Nuclear,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Nuclear.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1154,Generación medida Hulla antracita,Hulla antracita,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Hulla antracita.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1155,Generación medida Hulla sub-bituminosa,Hulla sub-bituminosa,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Hulla sub-bituminosa.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1156,Generación medida Ciclo combinado,Ciclo combinado,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Ciclo combinado.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1157,Generación medida Fuel,Fuel,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Fuel.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1158,Generación medida Gas Natural - Turbina de vapor,Turbina de vapor,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Gas Natural.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1159,Generación medida Eólica terrestre,Eólica terrestre,"<p>Medidas de la generaci&oacute;n seg&uacute;n el tipo de producci&oacute;n utilizado.</p>

<p>En concreto este indicador se refiere a las medidas de generaci&oacute;n del tipo de producci&oacute;n E&oacute;lica terrestre.</p>

<p>Este indicador se puede desglosar por provincias.</p>

<p><b>Publicaci&oacute;n:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
"
1160,Generación medida Eólica marina,Eólica marina,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Eólica marina.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1161,Generación medida Solar fotovoltaica,Solar fotovoltaica,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Solar fotovoltaica.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1162,Generación medida Solar térmica,Solar térmica,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Solar térmica.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1163,Generación medida Océano y geotérmica,Océano y geotérmica,"<p>Medidas de la generaci&oacute;n seg&uacute;n el tipo de producci&oacute;n utilizado.</p>

<p>En concreto este indicador se refiere a las medidas de generaci&oacute;n del tipo de producci&oacute;n Oc&eacute;ano&nbsp;y geot&eacute;rmica.</p>

<p>Este indicador se puede desglosar por provincias.</p>

<p><b>Publicaci&oacute;n:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
"
1164,Generación medida Gas Natural Cogeneración,Gas Natural Cogeneración,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Gas Natural Cogeneración.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1165,Generación medida Derivados del petróleo ó carbón,Derivados del petróleo ó carbón,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Derivados del petróleo ó carbón.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1166,Generación medida Subproductos minería,Subproductos minería,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Subproductos minería.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1167,Generación medida Energía residual,Energía residual,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Energía residual.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1168,Generación medida Biomasa,Biomasa,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Biomasa.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1169,Generación medida Biogás,Biogás,"<p>Medidas de la generaci&oacute;n seg&uacute;n el tipo de producci&oacute;n utilizado.</p>

<p>En concreto este indicador se refiere a las medidas de generaci&oacute;n del tipo de producci&oacute;n Biog&aacute;s.</p>

<p>Este indicador se puede desglosar por provincias.</p>

<p><b>Publicaci&oacute;n:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
"
1170,Generación medida Residuos domésticos y similares,Residuos domésticos y similares,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Residuos domésticos y similares.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1171,Generación medida Residuos varios,Residuos varios,<p>Medidas de la generación según el tipo de producción utilizado.</p><p>En concreto este indicador se refiere a las medidas de generación del tipo de producción Residuos varios.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1172,Generación medida Consumo bombeo,Consumo bombeo,<p>Medidas de la generación en el consumo de bombeo.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1173,Generación medida Enlace Baleares,Enlace Baleares,"<p>Medidas de la generaci&oacute;n en el enlace con Baleares.</p>

<p>Este indicador se puede desglosar por provincias.</p>

<p><b>Publicaci&oacute;n:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
"
1174,Generación medida Importación Francia,Importación Francia,<p>Medidas de la generación en las interconexiones internacionales.</p><p>En concreto este indicador se refiere a las medidas de generación en la interconexión con Francia en el sentido FR->ES. Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1175,Generación medida Importación Portugal,Importación Portugal,<p>Medidas de la generación en las interconexiones internacionales.</p><p>En concreto este indicador se refiere a las medidas de generación en la interconexión con Portugal en el sentido PT->ES. Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1176,Generación medida Importación Marruecos,Importación Marruecos,<p>Medidas de la generación en las interconexiones internacionales.</p><p>En concreto este indicador se refiere a las medidas de generación en la interconexión con Marruecos en el sentido MA->ES. Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1177,Generación medida Importación Andorra,Importación Andorra,<p>Medidas de la generación en las interconexiones internacionales.</p><p>En concreto este indicador se refiere a las medidas de generación en la interconexión con Andorra en el sentido AD->ES. Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1178,Generación medida Exportación Francia,Exportación Francia,<p>Medidas de la generación en las interconexiones internacionales.</p><p>En concreto este indicador se refiere a las medidas de generación en la interconexión con Francia en el sentido ES->FR. Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1179,Generación medida Exportación Portugal,Exportación Portugal,<p>Medidas de la generación en las interconexiones internacionales.</p><p>En concreto este indicador se refiere a las medidas de generación en la interconexión con Portugal en el sentido ES->PT. Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1180,Generación medida Exportación Marruecos,Exportación Marruecos,<p>Medidas de la generación en las interconexiones internacionales.</p><p>En concreto este indicador se refiere a las medidas de generación en la interconexión con Marruecos en el sentido ES->MA. Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1181,Generación medida Exportación Andorra,Exportación Andorra,<p>Medidas de la generación en las interconexiones internacionales.</p><p>En concreto este indicador se refiere a las medidas de generación en la interconexión con Andorra en el sentido ES->AD. Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1182,Generación medida red de transporte,red de transporte,<p>Total de generación medida en la red de transporte.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1183,Generación medida red de distribución,red de distribución,<p>Total de generación medida en la red de distribución.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente cada vez que lleguen nuevas medidas a partir del mes M+1.</p>
1184,Nº Puntos Frontera Distribución - Distribución,Distribución - Distribución,"<p>Los puntos frontera del sistema de medidas son los lugares del sistema eléctrico donde es necesario instalar equipos para poder medir la transacción de energía realizada en los mismos. Los puntos fronteras se pueden clasificar, por tanto, por las actividades a ambos lados de los mismos.</p><p>En concreto este indicador se refiere al número de puntos frontera cuando las actividades a ambos lados son distribuidores. Este indicador se puede detallar geográficamente a nivel de provincia.</p><p><b>Publicación:</b> diariamente a sobre las 03:20 horas con la información del día D-1.</p>"
1185,Nº Puntos Frontera Distribución - Transporte,Distribución - Transporte,"<p>Los puntos frontera del sistema de medidas son los lugares del sistema eléctrico donde es necesario instalar equipos para poder medir la transacción de energía realizada en los mismos. Los puntos fronteras se pueden clasificar, por tanto, por las actividades a ambos lados de los mismos.</p><p>En concreto este indicador se refiere al número de puntos frontera cuando las actividades a cada lado son distribución y transporte. Este indicador se puede detallar geográficamente a nivel de provincia.</p><p><b>Publicación:</b> diariamente a sobre las 03:20 horas con la información del día D-1.</p>"
1186,Nº Puntos Frontera Generación RE - Transporte,Generación RE - Transporte,"<p>Los puntos frontera del sistema de medidas son los lugares del sistema eléctrico donde es necesario instalar equipos para poder medir la transacción de energía realizada en los mismos. Los puntos fronteras se pueden clasificar, por tanto, por las actividades a ambos lados de los mismos.</p><p>En concreto este indicador se refiere al número de puntos frontera cuando las actividades a cada lado son generación no convencional y transporte. Este indicador se puede detallar geográficamente a nivel de provincia.</p><p><b>Publicación:</b> diariamente a sobre las 03:20 horas con la información del día D-1.</p>"
1187,Nº Puntos Frontera Generación RE - Distribución,Generación RE - Distribución,"<p>Los puntos frontera del sistema de medidas son los lugares del sistema eléctrico donde es necesario instalar equipos para poder medir la transacción de energía realizada en los mismos. Los puntos fronteras se pueden clasificar, por tanto, por las actividades a ambos lados de los mismos.</p><p>En concreto este indicador se refiere al número de puntos frontera cuando las actividades a cada lado son generación no convenional y distribución. Este indicador se puede detallar geográficamente a nivel de provincia.</p><p><b>Publicación:</b> diariamente a sobre las 03:20 horas con la información del día D-1.</p>"
1188,Nº Puntos Frontera Generación RO - Distribución,Generación RO - Distribución,"<p>Los puntos frontera del sistema de medidas son los lugares del sistema eléctrico donde es necesario instalar equipos para poder medir la transacción de energía realizada en los mismos. Los puntos fronteras se pueden clasificar, por tanto, por las actividades a ambos lados de los mismos.</p><p>En concreto este indicador se refiere al número de puntos frontera cuando las actividades a cada lado son generación convencional y distribución. Este indicador se puede detallar geográficamente a nivel de provincia.</p><p><b>Publicación:</b> diariamente a sobre las 03:20 horas con la información del día D-1.</p>"
1189,Nº Puntos Frontera Generación RO - Transporte,Generación RO - Transporte,"<p>Los puntos frontera del sistema de medidas son los lugares del sistema eléctrico donde es necesario instalar equipos para poder medir la transacción de energía realizada en los mismos. Los puntos fronteras se pueden clasificar, por tanto, por las actividades a ambos lados de los mismos.</p><p>En concreto este indicador se refiere al número de puntos frontera cuando las actividades a cada lado son generación convencional y transporte. Este indicador se puede detallar geográficamente a nivel de provincia.</p><p><b>Publicación:</b> diariamente a sobre las 03:20 horas con la información del día D-1.</p>"
1190,Nº Puntos Frontera Transporte - Internacional,Transporte - Internacional,"<p>Los puntos frontera del sistema de medidas son los lugares del sistema eléctrico donde es necesario instalar equipos para poder medir la transacción de energía realizada en los mismos. Los puntos fronteras se pueden clasificar, por tanto, por las actividades a ambos lados de los mismos.</p><p>En concreto este indicador se refiere al número de puntos frontera cuando las actividades a cada lado son transporte y una interconexión internacional. Este indicador se puede detallar geográficamente a nivel de provincia.</p><p><b>Publicación:</b> diariamente a sobre las 03:20 horas con la información del día D-1.</p>"
1191,Nº de Clientes > 450 kW discriminación horaria Sin discriminación horaria,Sin discriminación horaria,<p>Número de clientes de potencia contratada superior a 450kW para las diferentes tarifas.</p><p>En concreto este indicador se refiere al número de clientes con tarifa discriminación horaria Sin discriminación horaria.</p><p>Este indicador se puede desglosar por provincias.</p><p><b>Publicación:</b> diariamente sobre las 3:30 horas con la información del día D.</p>
1192,Demanda en barras de central ,Demanda en b.c,"<p>Es la energía procedente de las centrales de régimen ordinario, régimen especial y del saldo de los intercambios internacionales medida en bornes de alternador deducidos los consumos de generación y bombeo. Incluye las pérdidas.</p><p> </p><p><b>Publicación:</b> mensualmente la información del mes M-8 y meses anteriores siempre que se reciban nuevas medidas.</p><p> </p>"
1193,Demanda en consumo,Demanda en consumo,"<p>Energía que ha consumido por los distintos clientes. La demanda de consumo llega al Sistema de Medidas (SIMEL) en distintos momentos, según el tipo de punto frontera.</p><p>La demanda de los clientes tipo 1 y 2 está disponible en SIMEL el mes M+1 y la demanda de los clientes tipo 3, 4 y 5 está disponible el mes M+8.</p><p> </p><p><b>Publicación:</b> mensualmente la información del mes M-8 y meses anteriores siempre que se reciban nuevas medidas.</p>"
